item_id,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
rolling_SP40,52372608.0,44200.859375,239102.75,34157.53571428572,1868.5164027149322,3.3793701104085017,0.1851340863826902,0.166953359849177,12.589409342601149,7489.454687500001,0.42857142857142855,44200.859375,1.0,18880.548437499994,1.0
rolling_SP60-S,1547737.4285714286,7017.951171875,34185.4296875,4883.6328125,458.5154128959276,2.1865447156790756,0.21127210878572228,0.18597930958433492,11.590385810913894,446.90869140625006,0.14285714285714285,7017.951171875,1.0,3770.6327148437485,1.0
rolling_MP60-S,5889520.0,14195.6904296875,47355.734375,6765.104910714285,479.7315469457014,4.227272082857578,0.32412520520484617,0.2627408126334263,17.32370591327361,8256.329199218751,0.7142857142857143,14195.6904296875,1.0,5240.477246093749,1.0
rolling_IP41 LLAVE LAGRIMA,204611.30357142858,2850.5546875,29256.41796875,4179.48828125,244.13279482466064,1.6680352121752342,0.10390462604996084,0.09853704883809464,11.63700979824056,937.5861816406251,0.14285714285714285,2850.5546875,0.5714285714285714,1287.0632812499998,1.0
rolling_DP30 PIN,1867252.5714285714,8523.34765625,34490.80078125,4927.257254464285,310.64069570135746,3.9197088810301657,0.25097078622885977,0.21544286211936448,14.718938640548938,2646.7625976562504,0.42857142857142855,8523.34765625,1.0,3367.0728515624996,1.0
rolling_ZP48,11798688.0,21708.115234375,213389.59375,30484.227678571428,1301.3108031674208,2.3831042604488757,0.10149586800645406,0.09558669128867794,15.592406452707532,4419.98515625,0.0,21708.115234375,1.0,13237.436718749997,1.0
rolling_SP60,278952.89285714284,3354.033935546875,19953.16796875,2850.452566964286,119.93076569570135,3.9952025845800048,0.16809629667641815,0.15291727722011142,17.51632120870749,142.9146484375,0.0,3354.033935546875,1.0,1474.4297363281248,1.0
rolling_ZIPP44,70028891.42857143,50855.60546875,293693.1875,41956.169642857145,1745.7990667420815,4.16146773929341,0.17439683706887393,0.15909290561170897,18.77020902182572,3275.1609375,0.42857142857142855,50855.60546875,1.0,23048.729687499996,1.0
rolling_DP60 PIN,322156.6785714286,3169.3115234375,9911.19921875,1415.8856026785713,116.79758201357465,3.8764397452156043,0.36305854839221313,0.2766540263433691,16.904830779335164,1937.5287353515625,0.42857142857142855,3169.3114013671875,1.0,1200.3282714843747,1.0
rolling_DQ60-S,25939.27901785714,994.9608764648438,4359.2333984375,622.7476283482143,25.50889953337104,5.572065854133011,0.23209423483348093,0.2008662528808686,20.19108195150421,147.15957031250002,0.42857142857142855,994.9608764648438,1.0,386.40991210937494,1.0
rolling_ZIPP30,858662.7857142857,5752.4736328125,23447.333984375,3349.619140625,967.7194570135747,0.8491944040070234,0.24644702728729198,0.21415786161194286,3.9013451860732054,954.048876953125,0.2857142857142857,5752.473876953125,1.0,2703.8672363281244,1.0
rolling_ZAPT44,11589261.714285715,20714.65234375,76303.6015625,10900.51450892857,523.8534007352941,5.648977452381683,0.2828929391753373,0.24046896504584042,16.12054312796743,10993.246484375,0.8571428571428571,20714.65234375,1.0,7588.352148437498,1.0
rolling_YPH48,929677.4285714285,6519.03271484375,33240.40234375,4748.62890625,98.28174490950227,9.475720935687017,0.19746285847546824,0.17824180586097338,38.0245643700712,1545.14208984375,0.42857142857142855,6519.03271484375,1.0,2793.5480468749997,1.0
rolling_MP60,61520.08928571428,1372.22509765625,9760.2666015625,1394.3238002232142,64.78069764564479,3.026089003862634,0.14176907582967974,0.13028753171791302,18.047486508038123,96.20454101562501,0.0,1372.22509765625,1.0,713.6694335937499,1.0
rolling_DQ60,46342.86607142857,1248.745849609375,7471.2001953125,1067.3143136160713,17.379788912259617,10.264351605793884,0.17116038096767655,0.15337168070167134,45.00614303049687,156.715185546875,0.2857142857142857,1248.7457885742188,1.0,535.6545532226561,1.0
rolling_ZAT48,29794697.14285714,33431.34375,186446.671875,26635.238839285714,707.4630938914028,6.750749673357679,0.16446074546539852,0.1784923353169828,27.689606947902522,9979.496484375002,0.0,33431.34375,0.42857142857142855,22007.961328125,0.42857142857142855
rolling_SP40 TU,324131.0,3666.9228515625,4346.6669921875,620.9524274553571,43.369533901300905,12.078666163301158,0.9654395761076783,0.6142163697007381,99.87141397379001,3657.6107727050785,0.8571428571428571,3666.9227905273438,1.0,1111.3935913085934,1.0
rolling_DP30,1485688.7142857143,8079.904296875,0.0,0.0,18.243738511029413,63.26949060977216,0.0,2.0,233.32453334496867,2473.9348932266234,0.5714285714285714,8079.903961181641,1.0,3170.7439575195303,1.0
rolling_DP60-S,8413.408482142857,497.14617919921875,1080.800048828125,154.40000697544642,16.49592804369344,4.305358422674349,0.6543227013387848,0.40082619054348356,38.8564929558727,358.2674896240235,0.5714285714285714,497.14617919921875,1.0,171.41068420410153,1.0
