item_id,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
SP40,19069810.285714287,22549.365234375,24828.0,3546.8571428571427,58019.66519823788,0.055521483614538944,0.6018485682812376,1.5641190711934645,2.0997004933864574,40084.76381835938,0.0,22549.366718292236,0.2857142857142857,31373.997900390616,1.0
SP60-S,2952731.1428571427,7954.064453125,9120.0,1302.857142857143,11892.599118942731,0.0955463907015154,0.33768952469485114,1.7105742613616215,2.104056910258269,8637.904983520508,0.0,7954.064245223999,0.5714285714285714,6299.876519775389,1.0
MP60-S,3841329.4285714286,7412.1455078125,7692.0,1098.857142857143,14277.709251101322,0.07416301250187055,0.27987659327517694,1.577217482322722,2.649906131321163,12264.57826538086,0.0,7412.14599609375,0.5714285714285714,9153.831335449217,1.0
IP41 LLAVE LAGRIMA,254794916.57142857,42694.0234375,42888.0,6126.857142857143,7305.616740088106,0.8348571273783502,0.40833800880641863,1.623302270987781,32.92311264253949,9304.694928169252,0.0,42694.02392697334,0.42857142857142855,76217.46128768922,0.8571428571428571
DP30 PIN,21008560.0,16993.478515625,17244.0,2463.4285714285716,9804.264317180618,0.24761060181663253,0.3074892260974012,1.6631548155456923,2.655138845053102,9147.77035217285,0.0,16993.47841644287,0.5714285714285714,10002.686022949218,0.8571428571428571
ZP48,49431972.571428575,32854.3984375,37668.0,5381.142857142857,42129.48017621145,0.11140620466809416,0.4468479811272857,1.5964123694361358,2.6467714929418946,38556.6998046875,0.0,32854.397064208984,0.42857142857142855,29841.72617187499,1.0
SP60,1259848.0,3162.202392578125,3048.0,435.42857142857144,3870.31718061674,0.11671994254169792,0.1408119387603405,1.991934650612063,3.182228979256119,1009.9251613616944,0.0,3162.2022910118103,0.7142857142857143,4855.857917785645,0.8571428571428571
ZIPP44,2824755492.571429,237778.109375,256128.0,36589.71428571428,47827.9295154185,0.7102189386712884,0.6429305661832608,1.7515343174460742,5.1024646874981086,107892.0546875,0.0,237778.10705566406,0.2857142857142857,128246.341796875,0.7142857142857143
DP60 PIN,74751565.71428572,22986.7109375,22872.0,3267.4285714285716,3456.15859030837,0.9501345966653957,0.1427995386982836,1.9997696762378092,37.65480884944488,4778.0463354110725,0.0,22986.71107839048,0.7142857142857143,41204.30435123444,0.8571428571428571
DQ60-S,73.14310128348214,39.989681243896484,21.0,3.0,808.1057268722467,0.00706938636406182,0.12426825283335992,1.9342057362377711,0.2746258078345732,60.6479215502739,0.0,39.98968309164047,0.7142857142857143,68.91415746212004,0.8571428571428571
ZIPP30,322013769.14285713,51880.61328125,50100.0,7157.142857142857,28308.810572687224,0.26180952265746055,0.2856897654120462,1.9993618765592884,9.965134579516127,13197.15443725586,0.0,51880.611724853516,0.7142857142857143,88717.22774353028,0.8571428571428571
ZAPT44,13801269.714285715,14181.47265625,8580.0,1225.7142857142858,14909.867841409692,0.1358781101702257,0.12932628894542958,1.9505593991819785,2.526394015930842,13129.033801269534,0.0,14181.472068786621,0.7142857142857143,18851.783203125,0.8571428571428571
YPH48,15279756.57142857,15160.2197265625,14928.0,2132.5714285714284,3225.691629955947,0.671405057789976,0.3682442803682653,1.8043309666473768,15.445769743108352,5219.485710906983,0.0,15160.218734741211,0.5714285714285714,19281.857342529296,0.7142857142857143
MP60,298831.78571428574,2500.8583984375,2340.0,334.2857142857143,1777.3039647577093,0.20101541018042776,0.25054344540550594,1.8768390003236617,3.885686979796653,1438.576089477539,0.0,2500.858263015747,0.7142857142857143,1583.3219024658201,0.7142857142857143
DQ60,67341.16517857143,1025.716796875,772.0,110.28571428571429,527.1541850220265,0.2779660584047535,0.2834628170629158,1.9894486014953539,7.53105693477078,270.9913305282593,0.0,1025.716754436493,0.7142857142857143,1459.440421295166,0.7142857142857143
ZAT48,17953567305.142857,356692.25,355000.0,50714.28571428572,23696.211453744494,2.1503874496458213,0.14264286971830986,1.9991441910827086,84.76028226491822,75170.8612258911,0.0,356692.24545145035,0.7142857142857143,635102.6629699707,0.8571428571428571
SP40 TU,1847333.7142857143,4658.546875,4572.0,653.1428571428571,1220.4405286343613,0.5453003901576874,0.2836566901277052,1.9918286414749153,17.825852507116043,1179.0335959911347,0.0,4658.546999692917,0.5714285714285714,7582.54449748993,0.7142857142857143
DP30,561.411376953125,168.74229431152344,0.0,0.0,525.3920704845815,0.04588200583665029,0.0,2.0,0.29493844770947447,20.268632555007937,0.14285714285714285,168.7423038482666,1.0,79.95146560668944,1.0
DP60-S,209.86849539620536,101.47125244140625,0.0,0.0,496.38766519823787,0.029202766753130507,0.0,2.0,0.47187067501273755,49.46831669807435,0.0,101.4712620973587,0.8571428571428571,79.26505584716794,1.0
